#Mean longitude;Mean latitude;Mean altitude;SNR;stddev longitude;stddev latitude;stddev altitude;stddev SNR; label
6.7115240;46.5918448;916.1571429;32;0.0000019;nan;0.4271405;5;Fagus_sylvatica
6.7111879;46.5920092;915.5088235;34;0.0000093;0.0000029;0.3985520;7;Fagus_sylvatica
6.7113737;46.5917352;915.6181818;33;0.0000005;nan;0.2197858;7;Fagus_sylvatica
6.7106487;46.5917719;913.6108434;33;0.0000007;nan;0.0760660;4;Fagus_sylvatica
6.7118517;46.5918838;917.3318681;34;0.0000008;nan;0.3679104;2;Fagus_sylvatica
6.7109730;46.5916028;915.6333333;30;0.0000019;nan;0.4367993;5;Fagus_sylvatica
6.7114906;46.5915258;914.8904762;31;0.0000003;nan;0.0971242;6;Fagus_sylvatica
6.7115208;46.5915993;914.6000000;27;0.0000002;nan;nan;7;Fagus_sylvatica
6.7128243;46.5920444;909.8055046;35;0.0000011;nan;1.2534602;7;Fagus_sylvatica
6.7110931;46.5915556;914.3203540;31;0.0000004;nan;0.2936373;6;Fagus_sylvatica
6.7109593;46.5917571;914.9659574;32;0.0000026;0.0000012;0.1519751;5;Fagus_sylvatica
6.7107768;46.5917263;913.3369863;33;0.0000015;0.0000017;0.2290581;5;Fagus_sylvatica
6.7110503;46.5917294;914.0430233;30;0.0000079;0.0000033;1.1113098;7;Fagus_sylvatica
6.7116072;46.5917075;914.5792079;29;nan;nan;0.0848024;5;Fagus_sylvatica
6.7109828;46.5917627;918.6264151;32;nan;0.0000028;0.3160194;6;Fagus_sylvatica
6.7116581;46.5918418;917.1257143;32;0.0000013;0.0000004;0.0828407;7;Fagus_sylvatica
6.7111042;46.5917929;916.2018692;32;0.0000010;0.0000017;0.2579507;5;Fagus_sylvatica
6.7115589;46.5914808;915.0768519;30;nan;0.0000029;0.2021214;3;Fagus_sylvatica
6.7113904;46.5917033;915.7761905;34;0.0000019;nan;0.6675504;3;Fagus_sylvatica
6.7114339;46.5918375;916.6606061;33;0.0000022;nan;0.1187631;3;Fagus_sylvatica
6.7110562;46.5918128;917.5280899;33;0.0000083;0.0000042;0.9378422;7;Fagus_sylvatica
6.7105020;46.5917877;912.2711111;33;0.0000084;0.0000032;0.0542513;6;Fagus_sylvatica
6.7112885;46.5917386;914.0546512;31;nan;0.0000022;0.0497832;7;Fagus_sylvatica
6.7110472;46.5916801;915.5474227;30;0.0000097;0.0000054;0.4094484;6;Fagus_sylvatica
6.7115931;46.5914729;914.5700000;31;0.0000004;nan;0.1962142;3;Fagus_sylvatica
6.7126467;46.5916596;909.0000000;34;nan;nan;0.0000000;3;Fagus_sylvatica
6.7104278;46.5917097;912.0551402;34;0.0000006;0.0000030;0.4249758;6;Fagus_sylvatica
6.7127661;46.5918695;910.0305882;34;0.0000177;0.0000022;0.6540415;3;Fagus_sylvatica
6.7109706;46.5916299;915.6098765;30;0.0000004;0.0000015;0.0403838;6;Fagus_sylvatica
6.7115205;46.5916863;914.7866667;35;0.0000003;0.0000026;0.1417353;6;Fagus_sylvatica
6.7115515;46.5916192;915.1654321;29;0.0000006;0.0000005;0.2965482;2;Fagus_sylvatica
6.7109027;46.5917501;914.1136000;33;0.0000004;0.0000022;0.0342788;6;Fagus_sylvatica
6.7106540;46.5918084;913.5957447;37;0.0000004;0.0000016;0.0201847;5;Fagus_sylvatica
6.7108330;46.5916214;914.1734177;31;0.0000004;0.0000013;0.0806757;3;Fagus_sylvatica
6.7117322;46.5918882;917.3115789;34;0.0000025;nan;0.9451108;8;Fagus_sylvatica
6.7110086;46.5915517;916.0871287;31;0.0000047;nan;0.1068573;1;Fagus_sylvatica
6.7108188;46.5918011;915.7457831;36;0.0000023;nan;0.0626738;5;Fagus_sylvatica
6.7113906;46.5920393;916.9605505;34;0.0000011;0.0000021;0.2326624;8;Fagus_sylvatica
6.7112979;46.5920606;916.2972727;35;0.0000003;nan;0.1048454;5;Fagus_sylvatica
6.7113762;46.5914774;916.6298077;32;0.0000031;nan;0.6498343;7;Fagus_sylvatica
6.7110396;46.5917797;915.7815217;34;0.0000123;0.0000115;2.0072114;5;Fagus_sylvatica
6.7118890;46.5914695;914.2818182;28;0.0000002;nan;0.0385694;7;Fagus_sylvatica
6.7117038;46.5916865;914.5025974;30;0.0000001;0.0000024;0.0226436;5;Fagus_sylvatica
6.7127711;46.5920246;914.2121739;28;0.0000171;0.0000125;1.0825210;12;Fagus_sylvatica
6.7128137;46.5919846;908.7520408;33;0.0000013;0.0000030;0.0609944;6;Fagus_sylvatica
6.7115866;46.5916037;915.2708333;29;0.0000002;nan;0.1813816;1;Fagus_sylvatica
6.7120552;46.5913800;914.1000000;29;nan;0.0000029;0.0000408;5;Fagus_sylvatica
6.7110177;46.5917959;913.6489130;33;0.0000003;nan;0.0744466;8;Fagus_sylvatica
6.7108911;46.5915975;914.9905882;33;0.0000007;0.0000020;0.2241971;3;Fagus_sylvatica
6.7110507;46.5916416;915.6272727;31;0.0000009;0.0000006;0.2219374;7;Fagus_sylvatica
6.7111211;46.5917958;915.9979592;35;0.0000082;0.0000082;1.4690674;4;Fagus_sylvatica
6.7108668;46.5916637;913.9726316;31;0.0000003;0.0000025;0.1510957;6;Fagus_sylvatica
6.7114461;46.5918046;914.7857143;33;0.0000020;nan;0.4406717;6;Fagus_sylvatica
6.7115115;46.5920596;915.6973913;34;0.0000070;0.0000041;0.5086146;8;Fagus_sylvatica
6.7116242;46.5914487;914.3509434;34;0.0000004;nan;0.0499911;3;Fagus_sylvatica
6.7104909;46.5918178;911.6500000;35;0.0000017;nan;0.0923999;7;Fagus_sylvatica
6.7110754;46.5914961;914.5310078;36;0.0000064;0.0000042;1.2360727;5;Fagus_sylvatica
6.7116622;46.5916777;914.5330000;31;0.0000002;0.0000021;0.0470213;5;Fagus_sylvatica
6.7111870;46.5917313;915.6433962;27;0.0000008;nan;0.2952514;5;Fagus_sylvatica
6.7110094;46.5917225;915.3000000;31;0.0000003;0.0000022;nan;4;Fagus_sylvatica
6.7105653;46.5917923;913.0098901;35;0.0000017;nan;0.1851966;2;Fagus_sylvatica
6.7112299;46.5920413;916.5015385;35;0.0000004;nan;0.0754317;5;Fagus_sylvatica
6.7116318;46.5916377;914.5563830;33;0.0000007;0.0000028;0.3337595;5;Fagus_sylvatica
6.7110474;46.5916568;915.5482759;33;nan;nan;0.0771058;2;Fagus_sylvatica
6.7111548;46.5917299;915.0505051;29;0.0000043;0.0000032;0.3838596;4;Fagus_sylvatica
6.7115235;46.5915741;914.7000000;31;nan;nan;0.0000642;5;Fagus_sylvatica
6.7108612;46.5917454;913.8265060;31;0.0000034;0.0000050;0.2328888;6;Fagus_sylvatica
6.7115786;46.5917111;916.1787879;30;0.0000005;0.0000018;0.4193002;3;Fagus_sylvatica
6.7115803;46.5914277;914.6510204;33;0.0000005;0.0000036;0.1197318;6;Fagus_sylvatica
6.7109347;46.5916134;915.0142857;31;0.0000004;nan;0.0349927;3;Fagus_sylvatica
6.7108987;46.5916320;915.0000000;30;0.0000001;0.0000015;0.0000000;7;Fagus_sylvatica
6.7108115;46.5921183;914.5424658;33;0.0000023;0.0000021;1.1566269;5;Acer_pseudoplatanus
6.7115906;46.5925943;915.2269663;29;0.0000074;0.0000263;1.3060588;9;Acer_pseudoplatanus
6.7126216;46.5913507;910.3000000;36;0.0000003;0.0000019;nan;6;Acer_pseudoplatanus
6.7100546;46.5893075;912.8323077;31;nan;0.0000016;0.0467652;6;Acer_pseudoplatanus
6.7121238;46.5914522;914.2060976;34;nan;0.0000027;0.3633676;7;Acer_pseudoplatanus
6.7115219;46.5925822;915.9219178;33;0.0000164;0.0000041;1.9996059;7;Acer_pseudoplatanus
6.7104046;46.5892678;913.9783133;29;0.0000016;0.0000026;0.4176954;6;Acer_pseudoplatanus
6.7109053;46.5893484;918.6287500;32;0.0000008;0.0000015;0.3159089;6;Acer_pseudoplatanus
6.7109153;46.5893896;918.3224490;29;0.0000003;nan;0.1388955;2;Acer_pseudoplatanus
6.7112565;46.5896328;924.4361111;31;0.0000003;nan;0.0535038;6;Acer_pseudoplatanus
6.7105769;46.5896642;916.9279279;32;0.0000004;nan;0.0448645;5;Acer_pseudoplatanus
6.7100902;46.5892737;912.9000000;31;0.0000003;0.0000015;nan;2;Acer_pseudoplatanus
6.7108275;46.5913325;915.9547945;29;0.0000003;nan;0.0497696;6;Acer_pseudoplatanus
6.7107317;46.5913379;915.0761194;29;0.0000008;0.0000033;0.2947752;5;Acer_pseudoplatanus
6.7099918;46.5893311;912.6000000;31;0.0000001;nan;0.0000370;4;Acer_pseudoplatanus
6.7122753;46.5914315;913.2000000;32;0.0000035;nan;0.0638877;3;Acer_pseudoplatanus
6.7125476;46.5916398;910.0520833;38;nan;nan;0.0499566;4;Acer_pseudoplatanus
6.7126876;46.5920528;917.9880000;35;0.0000003;0.0000029;0.0564742;3;Acer_pseudoplatanus
6.7106740;46.5892837;917.8447368;28;0.0000012;0.0000065;1.3026688;7;Acer_pseudoplatanus
6.7114816;46.5894864;923.4000000;33;0.0000003;0.0000015;0.0000641;5;Acer_pseudoplatanus
6.7118916;46.5906607;923.9948980;33;0.0000031;0.0000028;0.8292328;3;Acer_pseudoplatanus
6.7109790;46.5913238;916.0307692;31;0.0000188;0.0000051;1.3819633;3;Acer_pseudoplatanus
6.7122676;46.5919944;916.7605505;32;0.0000015;nan;0.7395782;6;Acer_pseudoplatanus
6.7121654;46.5914555;913.6222222;37;0.0000001;nan;0.5349513;8;Acer_pseudoplatanus
6.7122724;46.5916485;912.7854701;37;0.0000097;0.0000053;0.9075434;3;Acer_pseudoplatanus
6.7115105;46.5896308;924.8241758;31;0.0000006;0.0000012;0.1847723;3;Acer_pseudoplatanus
6.7126260;46.5916110;908.9669565;35;0.0000002;0.0000035;0.0470370;8;Acer_pseudoplatanus
6.7121391;46.5914286;913.4000000;33;0.0000005;0.0000017;nan;3;Acer_pseudoplatanus
6.7100362;46.5893087;912.6223881;31;nan;0.0000020;0.0416843;8;Acer_pseudoplatanus
6.7122043;46.5917084;919.3856061;32;0.0000001;0.0000022;0.2004285;3;Acer_pseudoplatanus
6.7124827;46.5916660;912.2500000;34;0.0000053;0.0000066;2.0247748;6;Acer_pseudoplatanus
6.7122932;46.5921458;915.8873874;31;0.0000082;0.0000070;1.5536135;7;Acer_pseudoplatanus
6.7115731;46.5917118;914.5956522;30;0.0000005;nan;0.5068901;7;Acer_pseudoplatanus
6.7119011;46.5916803;912.9802632;31;nan;nan;0.1026231;6;Acer_pseudoplatanus
6.7120604;46.5916991;914.2988506;29;0.0000005;0.0000046;1.6686077;7;Acer_pseudoplatanus
6.7121026;46.5917040;909.9920455;29;0.0000004;0.0000018;0.0270588;2;Acer_pseudoplatanus
6.7123897;46.5916419;912.2197917;34;0.0000144;0.0000041;0.6512200;7;Acer_pseudoplatanus
6.7112256;46.5915560;913.9521739;29;nan;0.0000022;0.0499527;6;Acer_pseudoplatanus
6.7104787;46.5897707;916.4803922;32;0.0000003;0.0000016;0.0397029;4;Acer_pseudoplatanus
6.7122522;46.5914893;914.2761062;34;0.0000034;0.0000068;1.6920572;5;Acer_pseudoplatanus
6.7117231;46.5906471;924.2285714;32;0.0000238;0.0000031;0.9384094;4;Acer_pseudoplatanus
